alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------,,
-10,-0.9861,0.0183,0.01223,-0.0158,1,0.0194,-5.2517,0,0,0,0.2217
-9,-0.9374,0.01628,0.01011,-0.006,1,0.0215,-4.6394,0,0,0,0.2327
-8,-0.8181,0.01392,0.00769,-0.0103,0.9763,0.0261,-3.848,0,0,0,0.2275
-6,-0.6275,0.01091,0.00451,-0.0057,0.8499,0.0748,-2.5407,0,0,0,0.233
-5,-0.5405,0.00877,0.00308,-0.0023,0.8072,0.2588,-1.9767,0,0,0,0.2386
-4.5,-0.5016,0.00732,0.00239,0.0002,0.7893,0.4515,-1.7215,0,0,0,0.2435
-4,-0.4491,0.00703,0.00218,0.0007,0.773,0.5098,-1.4458,0,0,0,0.2451
-3.5,-0.3941,0.00691,0.00202,0.0008,0.7577,0.5401,-1.1845,0,0,0,0.2459
-3,-0.3386,0.00682,0.0019,0.0009,0.743,0.5644,-0.9362,0,0,0,0.2466
-2.5,-0.2831,0.00676,0.00181,0.0009,0.7288,0.5884,-0.75,0,0,0,0.2475
-2,-0.2272,0.0067,0.00175,0.0009,0.7144,0.6093,-0.6069,0,0,0,0.2484
-1.5,-0.1709,0.00667,0.00169,0.0008,0.7006,0.6266,-0.54,0,0,0,0.2493
-1,-0.114,0.00665,0.00163,0.0006,0.6877,0.6389,-0.5104,0,0,0,0.2496
-0.5,-0.057,0.00662,0.0016,0.0003,0.6744,0.6501,-0.4814,0,0,0,0.2497
0,0,0.00663,0.00158,0,0.6624,0.6623,-0.453,0,0,0,0.4615
0.5,0.057,0.00662,0.0016,-0.0003,0.6502,0.6744,-0.4814,0,0,0,0.2497
1,0.114,0.00665,0.00163,-0.0006,0.6389,0.6877,-0.5103,0,0,0,0.2496
1.5,0.1709,0.00667,0.00169,-0.0008,0.6266,0.7006,-0.54,0,0,0,0.2493
2,0.2272,0.0067,0.00175,-0.0009,0.6094,0.7144,-0.6071,0,0,0,0.2484
2.5,0.2831,0.00676,0.00181,-0.0009,0.5885,0.7288,-0.7497,0,0,0,0.2475
3,0.3386,0.00682,0.0019,-0.0009,0.5644,0.743,-0.9381,0,0,0,0.2466
3.5,0.3941,0.0069,0.00202,-0.0008,0.5402,0.7577,-1.1859,0,0,0,0.2459
4,0.4491,0.00703,0.00218,-0.0007,0.5097,0.773,-1.449,0,0,0,0.2451
4.5,0.5016,0.00732,0.00239,-0.0002,0.4514,0.7892,-1.7195,0,0,0,0.2435
5,0.5406,0.00877,0.00307,0.0023,0.2589,0.8072,-1.972,0,0,0,0.2386
5.5,0.5819,0.01007,0.00384,0.0042,0.1302,0.8274,-2.2441,0,0,0,0.2351
6,0.6276,0.01091,0.0045,0.0056,0.0749,0.8499,-2.5397,0,0,0,0.233
6.5,0.6743,0.01157,0.00515,0.007,0.0503,0.8767,-2.8477,0,0,0,0.2311
7,0.7194,0.01224,0.00587,0.0088,0.0376,0.9089,-3.1557,0,0,0,0.2288
7.5,0.7638,0.01295,0.00667,0.0108,0.0306,0.9462,-3.4785,0,0,0,0.2265
8,0.8182,0.01393,0.00769,0.0103,0.0261,0.9763,-3.8443,0,0,0,0.2275
8.5,0.8819,0.01512,0.00891,0.0074,0.0233,0.9925,-4.2501,0,0,0,0.2312
9,0.9377,0.01626,0.0101,0.006,0.0216,1,-4.6426,0,0,0,0.2327
9.5,0.9573,0.01736,0.01124,0.0119,0.0207,1,-4.9068,0,0,0,0.226
10,0.984,0.01843,0.01239,0.0162,0.0197,1,-5.2274,0,0,0,0.2213
10.5,1.0103,0.01992,0.01391,0.0197,0.0189,1,-5.5573,0,0,0,0.2176
11,1.0368,0.02169,0.01579,0.0226,0.0183,1,-5.8752,0,0,0,0.2145
11.5,1.0646,0.02353,0.01775,0.0249,0.0176,1,-6.2088,0,0,0,0.2122
12,1.0906,0.02564,0.01994,0.0269,0.0171,1,-6.5454,0,0,0,0.2101
12.5,1.1127,0.02818,0.02255,0.0288,0.0167,1,-6.8654,0,0,0,0.208
13,1.1328,0.03103,0.02556,0.0307,0.0163,1,-7.1677,0,0,0,0.206
13.5,1.1524,0.03401,0.02873,0.032,0.0159,1,-7.4821,0,0,0,0.2043
14,1.1685,0.03737,0.03227,0.0332,0.0155,1,-7.7837,0,0,0,0.2028
14.5,1.1813,0.04115,0.03622,0.034,0.0152,1,-8.0712,0,0,0,0.2014
15,1.1906,0.04538,0.04061,0.0344,0.015,1,-8.342,0,0,0,0.2003
15.5,1.1962,0.05012,0.04549,0.0346,0.0148,1,-8.684,0,0,0,0.1992
16.5,1.1851,0.06312,0.05897,0.0328,0.0145,1,-9.1388,0,0,0,0.1981
17,1.1681,0.07198,0.06816,0.0298,0.0144,1,-9.2358,0,0,0,0.1991
17.5,1.1439,0.08267,0.07918,0.0251,0.0143,1,-9.2348,0,0,0,0.2014
18,1.1126,0.09547,0.09231,0.0185,0.0142,1,-9.1187,0,0,0,0.2054
18.5,1.0742,0.11077,0.10794,0.0095,0.0142,1,-8.8524,0,0,0,0.2119
19,1.0257,0.12961,0.12711,-0.0027,0.0143,1,-8.3409,0,0,0,0.2221
