alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
0.000,0.000,0.000191,0.000000,0.006645,0.006645,0.000000,0.000000,-0.000107,0.000000,0.000000,490,0.1131
0.500,0.000,0.040345,0.000095,0.006648,0.006743,0.000000,-0.000000,-0.010361,0.000000,0.000000,490,0.0937
1,0.000,0.079868,0.000384,0.006651,0.007035,0.000000,-0.000000,-0.020454,0.000000,0.000000,490,0.0746
1.5,0.000,0.119332,0.000865,0.006663,0.007528,0.000000,-0.000000,-0.030507,0.000000,0.000000,490,0.0619
2,0.000,0.158659,0.001536,0.006692,0.008228,0.000000,-0.000000,-0.040479,0.000000,0.000000,490,0.0604
2.5,0.000,0.197975,0.002399,0.006723,0.009121,0.000000,-0.000000,-0.050443,0.000000,0.000000,490,0.0599
3,0.000,0.237064,0.003447,0.006756,0.010203,0.000000,-0.000000,-0.060274,0.000000,0.000000,490,0.0596
3.5,0.000,0.276069,0.004681,0.006791,0.011472,0.000000,-0.000000,-0.070053,0.000000,0.000000,490,0.0594
4,0.000,0.314786,0.006095,0.006858,0.012953,0.000000,-0.000000,-0.079702,0.000000,0.000000,490,0.0592
4.5,0.000,0.352906,0.007668,0.007000,0.014668,0.000000,-0.000000,-0.089080,0.000000,-0.000000,490,0.0589
5,0.000,0.390754,0.009418,0.007163,0.016580,0.000000,-0.000000,-0.098355,0.000000,0.000000,490,0.0587
5.5,0.000,0.426865,0.011257,0.007509,0.018766,0.000000,-0.000000,-0.106831,0.000000,0.000000,490,0.0583
6,0.000,0.462070,0.013216,0.007940,0.021157,0.000000,-0.000000,-0.114906,0.000000,0.000000,490,0.0579
6.5,0.000,0.496399,0.015282,0.008477,0.023759,0.000000,-0.000000,-0.122616,0.000000,-0.000000,490,0.0574
7,0.000,0.529615,0.017431,0.009149,0.026580,0.000000,-0.000000,-0.129876,0.000000,0.000000,490,0.0569
7.5,0.000,0.562684,0.019706,0.009842,0.029548,0.000000,-0.000000,-0.137066,0.000000,0.000000,490,0.0564
8,0.000,0.596617,0.022166,0.010425,0.032591,0.000000,-0.000000,-0.144569,0.000000,0.000000,490,0.0560
8.5,0.000,0.630751,0.024772,0.010989,0.035761,0.000000,-0.000000,-0.152119,-0.000000,-0.000000,490,0.0557
9,0.000,0.665508,0.027573,0.011564,0.039138,0.000000,0.000000,-0.160005,0.000000,0.000000,490,0.0554
9.5,0.000,0.700764,0.030570,0.012159,0.042729,0.000000,-0.000000,-0.168176,0.000000,0.000000,490,0.0552
10,0.000,0.736790,0.033779,0.012765,0.046545,0.000000,-0.000000,-0.176782,0.000000,0.000000,490,0.0551
10.5,0.000,0.774944,0.037314,0.013436,0.050751,0.000000,-0.000000,-0.186660,0.000000,0.000000,490,0.0552
11,0.000,0.813771,0.041101,0.014128,0.055229,0.000000,-0.000000,-0.196977,0.000000,0.000000,490,0.0554
11.5,0.000,0.845389,0.044497,0.014908,0.059405,0.000000,-0.000000,-0.203887,0.000000,-0.000000,490,0.0551
12,0.000,0.871632,0.047521,0.015748,0.063268,0.000000,-0.000000,-0.208191,0.000000,0.000000,490,0.0545
12.5,0.000,0.896846,0.050504,0.016706,0.067210,0.000000,-0.000000,-0.212211,0.000000,-0.000000,490,0.0538
13,0.000,0.921708,0.053511,0.017767,0.071278,0.000000,-0.000000,-0.216276,0.000000,0.000000,490,0.0532
13.5,0.000,0.945850,0.056534,0.018986,0.075521,0.000000,-0.000000,-0.220349,0.000000,0.000000,490,0.0527
14,0.000,0.968347,0.059426,0.020412,0.079839,0.000000,-0.000000,-0.223999,0.000000,0.000000,490,0.0521
14.5,0.000,0.990067,0.062331,0.022019,0.084350,0.000000,-0.000000,-0.227637,0.000000,0.000000,490,0.0516
15,0.000,1.00982,0.065152,0.023997,0.089149,0.000000,-0.000000,-0.231059,-0.000000,-0.000000,490,0.0512
15.5,0.000,1.027428,0.067691,0.026147,0.093838,0.000000,-0.000000,-0.233633,0.000000,0.000000,490,0.0507
16,0.000,1.043444,0.070094,0.028599,0.098692,0.000000,-0.000000,-0.236117,0.000000,-0.000000,490,0.0503
16.5,0.000,1.058282,0.072453,0.031295,0.103748,0.000000,-0.000000,-0.238637,-0.000000,-0.000000,490,0.0499
17,0.000,1.070302,0.074622,0.034457,0.109079,0.000000,-0.000000,-0.240876,-0.000000,-0.000000,490,0.0496
