y-span;Chord;Ai;Cl;PCd;ICd;CmGeom;CmAirf@chor;d/4    XTr;top    XTr;Bot      XCP;BM
-0.6321;0.2205;-1.558;0.050468;0.006841;0.001373;-0.015949;-0.000218;0.6555;0.6770;0.4261;0.0000
-0.6087;0.2391;-1.250;0.085857;0.006665;0.001873;-0.022139;-0.000390;0.6431;0.6795;0.3049;0.0060
-0.5702;0.2400;-0.987;0.115867;0.006662;0.001995;-0.029540;-0.000504;0.6366;0.6860;0.2490;0.0518
-0.5178;0.2400;-0.788;0.138337;0.006680;0.001903;-0.035213;-0.000546;0.6308;0.6913;0.2487;0.2118
-0.4525;0.2400;-0.645;0.154562;0.006693;0.001739;-0.039309;-0.000576;0.6266;0.6952;0.2485;0.5980
-0.3762;0.2400;-0.544;0.166019;0.006702;0.001575;-0.042201;-0.000598;0.6237;0.6979;0.2484;13.452
-0.2906;0.2400;-0.474;0.173867;0.006708;0.001439;-0.044182;-0.000612;0.6216;0.6998;0.2483;25.895
-0.1978;0.2400;-0.429;0.178939;0.006712;0.001341;-0.045463;-0.000622;0.6203;0.7010;0.2482;44.456
-0.1001;0.2400;-0.404;0.181780;0.006715;0.001283;-0.046180;-0.000627;0.6196;0.7017;0.2482;69.863
-0.0000;0.2400;-0.396;0.182694;0.006715;0.001263;-0.046411;-0.000629;0.6194;0.7019;0.2482;102.264
0.1001;0.2400;-0.404;0.181780;0.006715;0.001283;-0.046180;-0.000627;0.6196;0.7017;0.2482;69.863
0.1978;0.2400;-0.429;0.178939;0.006712;0.001341;-0.045463;-0.000622;0.6203;0.7010;0.2482;44.456
0.2906;0.2400;-0.474;0.173867;0.006708;0.001439;-0.044182;-0.000612;0.6216;0.6998;0.2483;25.895
0.3762;0.2400;-0.544;0.166019;0.006702;0.001575;-0.042201;-0.000598;0.6237;0.6979;0.2484;13.452
0.4525;0.2400;-0.645;0.154562;0.006693;0.001739;-0.039309;-0.000576;0.6266;0.6952;0.2485;0.5980
0.5178;0.2400;-0.788;0.138337;0.006680;0.001903;-0.035213;-0.000546;0.6308;0.6913;0.2487;0.2118
0.5702;0.2400;-0.987;0.115867;0.006662;0.001995;-0.029540;-0.000504;0.6366;0.6860;0.2490;0.0518
0.6087;0.2391;-1.250;0.085857;0.006665;0.001873;-0.022139;-0.000390;0.6431;0.6795;0.3049;0.0060
0.6321;0.2205;-1.558;0.050468;0.006841;0.001373;-0.015949;-0.000218;0.6555;0.6770;0.4261;0.0000
